Request_ID,Experiment,Timestamp,UE_ID,Attack_Detected,Attack_Type,Decision,Severity,Confidence,Risk_Score,Reasons
REQ000001,NORMAL,1900-07-16 13:16:16.740000,imsi-999700000000001,False,NONE,ALLOW,NORMAL,0.4,0.0,Registration validated successfully.
REQ000002,NORMAL,1900-07-16 13:16:17.458000,imsi-999700000000001,True,REPLAY,TAG,SUSPICIOUS,0.9,0.0,Replay-like behaviour detected.
REQ000003,NORMAL,1900-07-16 13:16:18.176000,imsi-999700000000001,True,REPLAY,TAG,SUSPICIOUS,0.9,0.0,Replay-like behaviour detected.
REQ000004,NORMAL,1900-07-16 13:16:18.888000,imsi-999700000000001,True,REPLAY,TAG,SUSPICIOUS,0.9,0.0,Replay-like behaviour detected.
REQ000005,NORMAL,1900-07-16 13:16:19.602000,imsi-999700000000001,True,REGISTRATION_FLOOD,BLOCK,MALICIOUS,0.9,0.0,Registration flooding detected.
REQ000006,NORMAL,1900-07-16 13:16:20.312000,imsi-999700000000001,True,REGISTRATION_FLOOD,BLOCK,MALICIOUS,0.9,0.0,Registration flooding detected.
REQ000007,NORMAL,1900-07-16 13:16:21.026000,imsi-999700000000001,True,REGISTRATION_FLOOD,BLOCK,MALICIOUS,0.9,0.0,Registration flooding detected.
REQ000008,NORMAL,1900-07-16 13:16:21.742000,imsi-999700000000001,True,REGISTRATION_FLOOD,BLOCK,MALICIOUS,0.9,0.0,Registration flooding detected.
REQ000009,NORMAL,1900-07-16 13:16:22.461000,imsi-999700000000001,True,REGISTRATION_FLOOD,BLOCK,MALICIOUS,0.9,0.0,Registration flooding detected.
